,id,intnum,floatnum,plus(+),minus(-),mult(*),div(/),semi(;),comma,dot(.),eq(==),returntype(=>),assign(=),lt(<),leq(<=),noteq(<>),gt(>),geq(>=),colon(:),scopeop(::),openpar((),closepar()),opencubr({),closecubr(}),opensqbr([),closesqbr(]),and,or,not,integer,float,void,class,self,isa,while,if,then,else,read,write,return,localvar,constructor,attribute,function,public,private,$
classDecl,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,classDecl_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,pop
localVarDeclOrStmt,localVarDeclOrStmt_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,localVarDeclOrStmt_B,localVarDeclOrStmt_B,scan,scan,localVarDeclOrStmt_B,localVarDeclOrStmt_B,localVarDeclOrStmt_B,localVarDeclOrStmt_A,scan,scan,scan,scan,scan,pop
fParams,fParams_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,fParams_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
relOp,pop,pop,pop,pop,pop,scan,scan,scan,scan,scan,relOp_A,scan,scan,relOp_C,relOp_E,relOp_B,relOp_D,relOp_F,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
indice,scan,scan,scan,pop,pop,pop,pop,pop,pop,pop,pop,scan,pop,pop,pop,pop,pop,pop,scan,scan,scan,pop,scan,scan,indice_A,pop,pop,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
multiCommaId,scan,scan,scan,scan,scan,scan,scan,scan,multiCommaId_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,multiCommaId_B ,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
multiAParamsTail,scan,scan,scan,scan,scan,scan,scan,scan,multiAParamsTail_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,multiAParamsTail_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
funcBody,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,funcBody_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,pop
multiFParamsTail,scan,scan,scan,scan,scan,scan,scan,scan,multiFParamsTail_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,multiFParamsTail_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
funcHeadFollowing,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,funcHeadFollowing_B,funcHeadFollowing_A,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
funcHeadFollowingFuncOrCons,funcHeadFollowingFuncOrCons_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,funcHeadFollowingFuncOrCons_B,scan,scan,scan,scan,pop
sign,pop,pop,pop,sign_A,sign_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
statBlock,statBlock_B,scan,scan,scan,scan,scan,scan,statBlock_C,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,statBlock_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,statBlock_B,statBlock_B,scan,statBlock_C,statBlock_B,statBlock_B,statBlock_B,scan,scan,scan,scan,scan,scan,pop
assignOp,pop,pop,pop,pop,pop,scan,scan,scan,scan,scan,scan,scan,assignOp_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
multiLocalVarDeclOrStmt,multiLocalVarDeclOrStmt_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,multiLocalVarDeclOrStmt_B,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,multiLocalVarDeclOrStmt_A,multiLocalVarDeclOrStmt_A,scan,scan,multiLocalVarDeclOrStmt_A,multiLocalVarDeclOrStmt_A,multiLocalVarDeclOrStmt_A,multiLocalVarDeclOrStmt_A,scan,scan,scan,scan,scan,pop
relExpr,relExpr_A,relExpr_A,relExpr_A,relExpr_A,relExpr_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,relExpr_A,pop,scan,scan,scan,scan,scan,scan,relExpr_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
variable,variable_A,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,scan,pop
